iter	Passed	Remaining
0	128	128269
1	141	70478
2	154	51356
3	166	41467
4	176	35189
5	185	30683
6	192	27248
7	198	24625
8	204	22481
9	209	20720
10	214	19294
11	219	18103
12	224	17073
13	230	16210
14	235	15437
15	240	14778
16	245	14205
17	250	13668
18	255	13203
19	261	12791
20	266	12403
21	271	12061
22	276	11733
23	281	11441
24	286	11189
25	291	10934
26	297	10708
27	302	10498
28	307	10300
29	312	10110
30	318	9941
31	322	9770
32	328	9613
33	332	9453
34	338	9343
35	344	9219
36	349	9083
37	354	8971
38	359	8864
39	364	8752
40	369	8652
41	375	8560
42	380	8459
43	385	8373
44	390	8277
45	395	8200
46	400	8130
47	405	8046
48	411	7977
49	416	7911
50	421	7839
51	426	7780
52	432	7720
53	437	7660
54	442	7602
55	447	7544
56	452	7488
57	458	7442
58	463	7385
59	468	7336
60	473	7295
61	479	7247
62	484	7201
63	489	7155
64	494	7110
65	499	7069
66	504	7026
67	509	6983
68	514	6946
69	519	6904
70	524	6865
71	530	6833
72	535	6805
73	541	6770
74	546	6738
75	551	6702
76	556	6667
77	560	6630
78	565	6597
79	570	6566
80	575	6534
81	580	6504
82	585	6470
83	590	6442
84	595	6413
85	600	6383
86	605	6356
87	610	6328
88	615	6303
89	621	6279
90	625	6251
91	630	6225
92	635	6202
93	640	6176
94	646	6157
95	651	6139
96	657	6125
97	663	6110
98	669	6096
99	675	6080
100	681	6063
101	687	6050
102	692	6031
103	698	6019
104	704	6006
105	710	5992
106	716	5977
107	722	5963
108	728	5950
109	734	5946
110	741	5936
111	747	5922
112	752	5908
113	758	5893
114	764	5879
115	770	5870
116	776	5861
117	784	5863
118	792	5864
119	798	5857
120	804	5844
121	810	5830
122	815	5816
123	822	5808
124	828	5796
125	834	5785
126	840	5774
127	846	5766
128	852	5753
129	858	5746
130	864	5735
131	870	5725
132	875	5709
133	881	5694
134	886	5678
135	891	5661
136	895	5643
137	900	5627
138	906	5611
139	910	5595
140	916	5580
141	921	5566
142	926	5550
143	931	5537
144	936	5521
145	941	5506
146	946	5493
147	951	5478
148	956	5464
149	961	5451
150	968	5442
151	974	5436
152	980	5429
153	986	5419
154	992	5411
155	998	5402
156	1004	5392
157	1009	5377
158	1014	5364
159	1019	5351
160	1024	5337
161	1029	5324
162	1034	5310
163	1039	5297
164	1044	5284
165	1049	5271
166	1054	5259
167	1059	5244
168	1063	5231
169	1069	5221
170	1074	5207
171	1079	5194
172	1083	5181
173	1088	5169
174	1093	5157
175	1098	5145
176	1103	5132
177	1108	5119
178	1113	5107
179	1118	5096
180	1123	5083
181	1129	5076
182	1134	5067
183	1139	5055
184	1144	5043
185	1149	5030
186	1154	5017
187	1159	5007
188	1164	4995
189	1169	4983
190	1174	4972
191	1178	4961
192	1183	4949
193	1188	4938
194	1193	4926
195	1198	4914
196	1202	4903
197	1208	4893
198	1212	4881
199	1217	4870
200	1222	4858
201	1227	4847
202	1231	4836
203	1236	4825
204	1242	4816
205	1246	4805
206	1251	4794
207	1256	4782
208	1260	4772
209	1266	4763
210	1271	4752
211	1275	4742
212	1280	4731
213	1285	4721
214	1290	4710
215	1294	4699
216	1299	4690
217	1304	4679
218	1309	4669
219	1314	4660
220	1319	4650
221	1324	4640
222	1328	4629
223	1333	4619
224	1338	4610
225	1343	4600
226	1348	4591
227	1353	4582
228	1357	4571
229	1362	4562
230	1367	4552
231	1372	4544
232	1377	4535
233	1382	4524
234	1387	4515
235	1391	4506
236	1396	4496
237	1401	4488
238	1406	4479
239	1412	4472
240	1418	4466
241	1423	4458
242	1428	4448
243	1432	4438
244	1437	4430
245	1442	4421
246	1447	4411
247	1452	4403
248	1457	4394
249	1462	4388
250	1468	4381
251	1473	4372
252	1478	4364
253	1482	4355
254	1487	4345
255	1493	4339
256	1498	4332
257	1503	4324
258	1508	4315
259	1513	4306
260	1517	4297
261	1523	4290
262	1528	4283
263	1533	4275
264	1538	4266
265	1543	4258
266	1547	4249
267	1552	4241
268	1557	4233
269	1562	4224
270	1567	4216
271	1572	4208
272	1577	4200
273	1582	4192
274	1587	4184
275	1591	4176
276	1596	4167
277	1601	4159
278	1606	4152
279	1611	4143
280	1616	4134
281	1620	4126
282	1626	4120
283	1632	4116
284	1640	4116
285	1647	4114
286	1653	4108
287	1659	4101
288	1665	4097
289	1670	4090
290	1676	4084
291	1682	4079
292	1688	4073
293	1693	4066
294	1699	4061
295	1705	4055
296	1711	4050
297	1717	4044
298	1722	4038
299	1728	4032
300	1733	4024
301	1738	4017
302	1742	4009
303	1747	4001
304	1752	3993
305	1757	3986
306	1762	3978
307	1767	3970
308	1772	3963
309	1777	3956
310	1782	3948
311	1787	3940
312	1791	3932
313	1796	3924
314	1801	3917
315	1806	3909
316	1811	3902
317	1815	3894
318	1820	3886
319	1825	3878
320	1830	3872
321	1836	3866
322	1841	3859
323	1846	3852
324	1851	3845
325	1856	3837
326	1861	3831
327	1866	3823
328	1870	3815
329	1875	3808
330	1880	3800
331	1885	3793
332	1890	3786
333	1895	3779
334	1900	3772
335	1905	3765
336	1911	3760
337	1916	3754
338	1922	3747
339	1926	3740
340	1931	3732
341	1936	3725
342	1941	3718
343	1945	3710
344	1950	3703
345	1955	3696
346	1961	3690
347	1966	3684
348	1971	3677
349	1976	3669
350	1980	3662
351	1986	3656
352	1991	3650
353	1996	3642
354	2001	3636
355	2006	3629
356	2011	3622
357	2016	3615
358	2020	3608
359	2025	3600
360	2030	3594
361	2036	3588
362	2040	3581
363	2046	3575
364	2051	3568
365	2056	3562
366	2061	3555
367	2066	3548
368	2071	3542
369	2076	3534
370	2080	3528
371	2085	3520
372	2090	3513
373	2095	3508
374	2101	3502
375	2106	3495
376	2110	3488
377	2115	3481
378	2120	3474
379	2125	3467
380	2130	3460
381	2134	3453
382	2139	3447
383	2144	3440
384	2149	3433
385	2154	3426
386	2158	3419
387	2163	3412
388	2169	3406
389	2174	3400
390	2179	3393
391	2183	3386
392	2189	3381
393	2194	3375
394	2200	3369
395	2204	3363
396	2209	3355
397	2214	3349
398	2219	3343
399	2224	3336
400	2229	3330
401	2234	3323
402	2238	3316
403	2243	3310
404	2248	3303
405	2253	3296
406	2258	3289
407	2262	3283
408	2268	3277
409	2272	3270
410	2277	3263
411	2282	3256
412	2287	3251
413	2293	3245
414	2298	3240
415	2303	3233
416	2308	3228
417	2313	3221
418	2318	3215
419	2323	3208
420	2327	3201
421	2332	3195
422	2337	3188
423	2342	3182
424	2347	3175
425	2352	3169
426	2357	3163
427	2363	3159
428	2369	3154
429	2374	3148
430	2379	3141
431	2384	3135
432	2389	3129
433	2394	3122
434	2399	3116
435	2404	3110
436	2409	3103
437	2413	3097
438	2418	3090
439	2423	3084
440	2428	3078
441	2433	3072
442	2438	3066
443	2443	3059
444	2448	3053
445	2453	3047
446	2457	3040
447	2462	3034
448	2467	3027
449	2472	3021
450	2477	3015
451	2482	3009
452	2486	3002
453	2491	2996
454	2496	2990
455	2501	2984
456	2506	2977
457	2511	2972
458	2516	2966
459	2521	2960
460	2526	2953
461	2530	2947
462	2535	2940
463	2540	2934
464	2545	2928
465	2549	2921
466	2554	2915
467	2559	2909
468	2564	2903
469	2569	2897
470	2574	2891
471	2579	2885
472	2584	2879
473	2588	2872
474	2593	2866
475	2598	2860
476	2603	2854
477	2608	2848
478	2614	2843
479	2620	2838
480	2626	2833
481	2631	2828
482	2637	2823
483	2642	2817
484	2648	2812
485	2654	2807
486	2659	2801
487	2665	2796
488	2671	2792
489	2678	2787
490	2683	2782
491	2688	2775
492	2694	2771
493	2699	2765
494	2704	2759
495	2709	2753
496	2714	2747
497	2719	2741
498	2724	2735
499	2729	2729
500	2733	2722
501	2738	2716
502	2743	2710
503	2747	2704
504	2753	2698
505	2758	2692
506	2762	2686
507	2767	2680
508	2772	2674
509	2777	2668
510	2782	2662
511	2787	2656
512	2792	2650
513	2796	2644
514	2801	2638
515	2806	2632
516	2811	2626
517	2816	2620
518	2820	2614
519	2825	2608
520	2831	2602
521	2836	2596
522	2841	2591
523	2846	2585
524	2851	2579
525	2856	2573
526	2860	2567
527	2865	2561
528	2870	2555
529	2875	2549
530	2880	2544
531	2885	2538
532	2890	2532
533	2894	2526
534	2899	2520
535	2904	2514
536	2909	2508
537	2914	2502
538	2918	2496
539	2923	2490
540	2928	2484
541	2933	2478
542	2939	2473
543	2944	2468
544	2949	2462
545	2954	2456
546	2958	2450
547	2963	2444
548	2968	2438
549	2973	2432
550	2978	2427
551	2983	2421
552	2988	2415
553	2993	2409
554	2998	2403
555	3003	2398
556	3007	2392
557	3012	2386
558	3017	2380
559	3022	2374
560	3027	2368
561	3032	2363
562	3037	2357
563	3042	2351
564	3047	2346
565	3052	2340
566	3057	2335
567	3062	2329
568	3067	2323
569	3072	2317
570	3077	2311
571	3081	2305
572	3086	2300
573	3091	2294
574	3097	2289
575	3102	2283
576	3107	2278
577	3112	2272
578	3117	2266
579	3122	2260
580	3127	2255
581	3131	2249
582	3136	2243
583	3141	2237
584	3146	2232
585	3151	2226
586	3156	2220
587	3160	2214
588	3165	2208
589	3170	2203
590	3175	2197
591	3180	2191
592	3185	2186
593	3189	2180
594	3194	2174
595	3199	2168
596	3204	2163
597	3209	2157
598	3213	2151
599	3219	2146
600	3224	2140
601	3228	2134
602	3234	2129
603	3239	2123
604	3244	2118
605	3249	2112
606	3253	2106
607	3258	2100
608	3263	2095
609	3268	2089
610	3273	2083
611	3278	2078
612	3282	2072
613	3287	2066
614	3292	2061
615	3297	2055
616	3302	2050
617	3307	2044
618	3311	2038
619	3316	2032
620	3321	2027
621	3326	2021
622	3331	2015
623	3336	2010
624	3341	2004
625	3346	1999
626	3350	1993
627	3356	1987
628	3360	1982
629	3365	1976
630	3371	1971
631	3376	1965
632	3381	1960
633	3385	1954
634	3390	1949
635	3395	1943
636	3400	1937
637	3405	1932
638	3409	1926
639	3414	1920
640	3419	1915
641	3424	1909
642	3429	1903
643	3433	1898
644	3438	1892
645	3443	1886
646	3448	1881
647	3453	1875
648	3457	1870
649	3462	1864
650	3467	1858
651	3472	1853
652	3477	1847
653	3483	1842
654	3488	1837
655	3493	1831
656	3498	1826
657	3503	1820
658	3507	1815
659	3513	1809
660	3517	1804
661	3522	1798
662	3527	1793
663	3532	1787
664	3537	1782
665	3542	1776
666	3547	1771
667	3552	1765
668	3556	1759
669	3562	1754
670	3567	1749
671	3572	1743
672	3577	1738
673	3581	1732
674	3586	1726
675	3592	1721
676	3597	1716
677	3603	1711
678	3609	1706
679	3614	1701
680	3620	1695
681	3626	1691
682	3632	1686
683	3637	1680
684	3642	1674
685	3646	1669
686	3651	1663
687	3656	1658
688	3661	1652
689	3666	1647
690	3671	1641
691	3676	1636
692	3681	1630
693	3685	1625
694	3690	1619
695	3695	1614
696	3700	1608
697	3705	1603
698	3710	1597
699	3715	1592
700	3720	1586
701	3724	1581
702	3729	1575
703	3734	1570
704	3739	1564
705	3744	1559
706	3749	1553
707	3753	1548
708	3758	1542
709	3763	1537
710	3768	1531
711	3773	1526
712	3778	1520
713	3782	1515
714	3787	1509
715	3792	1504
716	3797	1498
717	3802	1493
718	3806	1487
719	3812	1482
720	3816	1476
721	3821	1471
722	3826	1465
723	3831	1460
724	3836	1455
725	3841	1449
726	3846	1444
727	3850	1438
728	3856	1433
729	3861	1428
730	3866	1422
731	3871	1417
732	3875	1411
733	3880	1406
734	3886	1401
735	3891	1395
736	3896	1390
737	3901	1384
738	3906	1379
739	3911	1374
740	3916	1369
741	3922	1363
742	3927	1358
743	3932	1353
744	3938	1348
745	3944	1343
746	3950	1337
747	3955	1332
748	3960	1327
749	3964	1321
750	3969	1316
751	3974	1310
752	3979	1305
753	3984	1299
754	3988	1294
755	3993	1289
756	3998	1283
757	4003	1278
758	4008	1272
759	4013	1267
760	4018	1261
761	4023	1256
762	4028	1251
763	4033	1245
764	4038	1240
765	4043	1235
766	4048	1229
767	4052	1224
768	4057	1218
769	4062	1213
770	4067	1207
771	4072	1202
772	4078	1197
773	4083	1192
774	4088	1187
775	4093	1181
776	4098	1176
777	4102	1170
778	4107	1165
779	4112	1160
780	4117	1154
781	4122	1149
782	4127	1143
783	4131	1138
784	4136	1132
785	4141	1127
786	4146	1122
787	4151	1116
788	4155	1111
789	4160	1105
790	4165	1100
791	4170	1095
792	4174	1089
793	4179	1084
794	4184	1079
795	4189	1073
796	4194	1068
797	4199	1062
798	4203	1057
799	4208	1052
800	4213	1046
801	4218	1041
802	4223	1036
803	4228	1030
804	4233	1025
805	4237	1020
806	4242	1014
807	4247	1009
808	4252	1003
809	4257	998
810	4261	993
811	4266	987
812	4271	982
813	4276	977
814	4281	971
815	4286	966
816	4291	961
817	4296	955
818	4301	950
819	4306	945
820	4310	939
821	4315	934
822	4320	929
823	4325	923
824	4330	918
825	4334	913
826	4339	907
827	4344	902
828	4349	897
829	4353	891
830	4359	886
831	4364	881
832	4369	876
833	4375	870
834	4379	865
835	4384	860
836	4389	854
837	4394	849
838	4398	844
839	4403	838
840	4408	833
841	4413	828
842	4417	822
843	4423	817
844	4428	812
845	4432	806
846	4438	801
847	4444	796
848	4452	791
849	4458	786
850	4464	781
851	4469	776
852	4475	771
853	4481	766
854	4487	760
855	4492	755
856	4498	750
857	4502	745
858	4507	739
859	4512	734
860	4517	729
861	4522	723
862	4526	718
863	4531	713
864	4536	707
865	4541	702
866	4546	697
867	4551	692
868	4555	686
869	4560	681
870	4565	676
871	4570	670
872	4575	665
873	4581	660
874	4587	655
875	4593	650
876	4599	645
877	4606	640
878	4611	634
879	4616	629
880	4620	624
881	4625	618
882	4630	613
883	4635	608
884	4640	602
885	4645	597
886	4649	592
887	4654	587
888	4659	581
889	4663	576
890	4668	571
891	4673	565
892	4678	560
893	4683	555
894	4688	550
895	4693	544
896	4698	539
897	4703	534
898	4708	528
899	4713	523
900	4718	518
901	4723	513
902	4728	507
903	4732	502
904	4737	497
905	4742	492
906	4747	486
907	4752	481
908	4757	476
909	4762	470
910	4766	465
911	4771	460
912	4776	455
