iter	Passed	Remaining
0	14	14848
1	28	14347
2	41	13807
3	54	13615
4	66	13311
5	78	13079
6	90	12806
7	101	12629
8	112	12419
9	123	12274
10	134	12065
11	144	11911
12	155	11787
13	165	11626
14	174	11473
15	186	11452
16	196	11347
17	206	11247
18	216	11164
19	226	11107
20	236	11037
21	247	10986
22	257	10937
23	267	10879
24	278	10871
25	289	10841
26	300	10839
27	310	10763
28	320	10719
29	329	10660
30	339	10604
31	348	10545
32	358	10508
33	368	10462
34	378	10449
35	389	10418
36	398	10381
37	408	10352
38	419	10325
39	428	10295
40	439	10277
41	448	10234
42	458	10196
43	467	10160
44	476	10122
45	486	10088
46	496	10061
47	506	10039
48	515	10010
49	525	9992
50	535	9968
51	545	9937
52	554	9911
53	564	9887
54	573	9858
55	583	9830
56	592	9806
57	602	9780
58	611	9758
59	620	9724
60	629	9695
61	639	9677
62	648	9650
63	658	9634
64	668	9615
65	679	9611
66	689	9600
67	698	9572
68	707	9550
69	717	9537
70	727	9524
71	737	9510
72	746	9485
73	758	9487
74	771	9518
75	786	9565
76	797	9558
77	808	9553
78	818	9541
79	829	9540
80	840	9536
81	850	9518
82	860	9505
83	870	9493
84	880	9476
85	889	9449
86	899	9438
87	909	9424
88	919	9410
89	929	9396
90	938	9374
91	948	9360
92	958	9347
93	967	9324
94	976	9305
95	986	9290
96	995	9266
97	1004	9243
98	1013	9228
99	1023	9210
100	1032	9194
101	1041	9172
102	1051	9154
103	1060	9138
104	1069	9119
105	1078	9100
106	1087	9079
107	1097	9064
108	1107	9055
109	1117	9040
110	1125	9018
111	1135	9002
112	1145	8989
113	1154	8975
114	1163	8956
115	1173	8942
116	1182	8926
117	1192	8912
118	1201	8895
119	1211	8885
120	1220	8868
121	1230	8854
122	1239	8836
123	1248	8823
124	1258	8806
125	1267	8795
126	1277	8783
127	1287	8767
128	1296	8751
129	1305	8733
130	1315	8723
131	1324	8708
132	1333	8692
133	1342	8674
134	1351	8659
135	1361	8648
136	1371	8642
137	1381	8629
138	1390	8615
139	1400	8601
140	1409	8587
141	1419	8579
142	1430	8570
143	1440	8561
144	1450	8550
145	1460	8541
146	1469	8528
147	1479	8514
148	1488	8500
149	1497	8486
150	1507	8474
151	1517	8465
152	1527	8455
153	1537	8444
154	1548	8439
155	1558	8434
156	1569	8427
157	1579	8418
158	1589	8408
159	1599	8397
160	1609	8385
161	1619	8379
162	1630	8370
163	1639	8357
164	1649	8346
165	1658	8334
166	1669	8325
167	1679	8316
168	1692	8321
169	1705	8324
170	1716	8323
171	1727	8317
172	1739	8313
173	1750	8310
174	1763	8314
175	1776	8317
176	1789	8320
177	1801	8320
178	1813	8319
179	1825	8314
180	1837	8312
181	1848	8309
182	1861	8308
183	1871	8299
184	1882	8291
185	1892	8281
